Sport,Bovada Names,VSIN Names,ESPN Names,Final Names
SOCC,Celta de Vigo,Celta Vigo,Celta Vigo,Celta Vigo
FOOT,Central Florida,UCF,,Central Florida
FOOT,Central Michigan,,,Central Michigan
TABL,Cesta Havrda,,,Cesta Havrda
SOCC,CF Montr�al,CF Montreal,CF Montr�al,CF Montreal
SOCC,Charlotte FC,Charlotte FC,Charlotte FC,Charlotte FC
SOCC,Chelsea,Chelsea,Chelsea,Chelsea
FOOT,Chicago Bears,CHI Bears,Chicago Bears,Chicago Bears
BASE,Chicago Cubs,CHI Cubs,Chicago Cubs,Chicago Cubs
SOCC,Chicago Fire,Chicago Fire,Chicago Fire FC,Chicago Fire
BASK,Chicago Sky,CHI Sky,Chicago Sky,Chicago Sky
BASE,Chicago White Sox,CHI White Sox,Chicago White Sox,Chicago White Sox
FOOT,Cincinnati Bengals,CIN Bengals,Cincinnati Bengals,Cincinnati Bengals
BASE,Cincinnati Reds,CIN Reds,Cincinnati Reds,Cincinnati Reds
FOOT,Clemson,Clemson,,Clemson
FOOT,Cleveland Browns,CLE Browns,Cleveland Browns,Cleveland Browns
BASE,Cleveland Guardians,CLE Guardians,Cleveland Guardians,Cleveland Guardians
FOOT,Coastal Carolina,Coastal Carolina,,Coastal Carolina
FOOT,Colorado,Colorado,,Colorado
SOCC,Colorado Rapids,Colorado Rapids,Colorado Rapids,Colorado Rapids
BASE,Colorado Rockies,COL Rockies,Colorado Rockies,Colorado Rockies
FOOT,Colorado State,Colorado ST,,Colorado State
SOCC,Columbus Crew,Columbus Crew,Columbus Crew,Columbus Crew
FOOT,Connecticut,,,Connecticut
SOCC,Cremonese,Cremonese,Cremonese,Cremonese
SOCC,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
TABL,Dalibor Kolek,,,Dalibor Kolek
FOOT,Dallas Cowboys,DAL Cowboys,Dallas Cowboys,Dallas Cowboys
HCKY,Dallas Stars,DAL Stars,Dallas Stars,Dallas Stars
BASK,Dallas Wings,DAL Wings,Dallas Wings,Dallas Wings
TABL,Daniel Branny,,,Daniel Branny
TABL,Daniel Kouble,,,Daniel Kouble
TABL,Daniel Tuma,,,Daniel Tuma
TABL,David Stepanek,,,David Stepanek
TABL,David Stusek,,,David Stusek
TABL,David Szotek,,,David Szotek
TABL,David Vrabec,,,David Vrabec
SOCC,DC United,DC Utd,D.C. United,DC Utd
TABL,Denis Hofman,,,Denis Hofman
FOOT,Denver Broncos,DEN Broncos,Denver Broncos,Denver Broncos
BASK,Denver Nuggets,DEN Nuggets,Denver Nuggets,Denver Nuggets
FOOT,Detroit Lions,DET Lions,Detroit Lions,Detroit Lions
BASE,Detroit Tigers,DET Tigers,Detroit Tigers,Detroit Tigers
TABL,Dominik Kuzma,,,Dominik Kuzma
TABL,Dominik Lengal,,,Dominik Lengal
ESPT,Dplus KIA,,,Dplus KIA
ESPT,DRX,,,DRX
FOOT,Duke,Duke,,Duke
TABL,Dusan Stusek,,,Dusan Stusek
FOOT,East Carolina,East Carolina,,East Carolina
FOOT,Edmonton Elks,EDM Elks,,Edmonton Elks
TABL,Eduard Sionkala,,,Eduard Sionkala
SOCC,Elche,Elche,Elche,Elche
SOCC,Empoli,Empoli,Empoli,Empoli
TABL,Erik Mares,,,Erik Mares
SOCC,Espanyol,Espanyol,Espanyol,Espanyol
SOCC,Everton,Everton,Everton,Everton
SOCC,FC Cincinnati,FC Cincinnati,FC Cincinnati,FC Cincinnati
SOCC,FC Dallas,FC Dallas,FC Dallas,FC Dallas
TABL,Filip Dusil,,,Filip Dusil
TABL,Filip Karel,,,Filip Karel
TABL,Filip Sikora,,,Filip Sikora
TABL,Filip Theodor,,,Filip Theodor
TABL,Filip Vondracek,,,Filip Vondracek
SOCC,Fiorentina,Fiorentina,Fiorentina,Fiorentina
FOOT,Florida ,Florida,,Florida 
FOOT,Florida International,FIU,,Florida International
HCKY,Florida Panthers,FLA Panthers,Florida Panthers,Florida Panthers
FOOT,Florida State,Florida ST,,Florida State
TABL,Frantisek Briza,,,Frantisek Briza
TABL,Frantisek Just,,,Frantisek Just
TABL,Frantisek Kanta,,,Frantisek Kanta
TABL,Frantisek Trojan,,,Frantisek Trojan
FOOT,Fresno State,Fresno ST,,Fresno State
SOCC,Fulham,Fulham,Fulham,Fulham
ESPT,Gen.G,,,Gen.G
FOOT,Georgia,Georgia Bulldogs,,Georgia
FOOT,Georgia Tech,Georgia Tech,,Georgia Tech
SOCC,Getafe,Getafe,Getafe,Getafe
SOCC,Girona,Girona,Girona,Girona
FOOT,Green Bay Packers,GB Packers,Green Bay Packers,Green Bay Packers
FOOT,Hamilton Tiger-Cats,HAM Tiger-Cats,,Hamilton Tiger-Cats
ESPT,Hanwha Life Esports,,,Hanwha Life Esports
FOOT,Hawaii,Hawaii,,Hawaii
BASE,Home Total Runs,-,-,Home Total Runs
FOOT,Houston,Houston,,Houston
BASE,Houston Astros,HOU Astros,Houston Astros,Houston Astros
SOCC,Houston Dynamo,Houston Dynamo,Houston Dynamo FC,Houston Dynamo
FOOT,Houston Gamblers,HOU Gamblers,,Houston Gamblers
FOOT,Houston Texans,HOU Texans,Houston Texans,Houston Texans
FOOT,Illinois,Illinois,,Illinois
FOOT,Indiana,Indiana,,Indiana
BASK,Indiana Fever,IND Fever,Indiana Fever,Indiana Fever
FOOT,Indianapolis Colts,IND Colts,Indianapolis Colts,Indianapolis Colts
SOCC,Inter Miami,Inter Miami,Inter Miami CF,Inter Miami
SOCC,Inter Milan,Inter Milan,Internazionale,Inter Milan
ESPT,Invictus Gaming Young,,,Invictus Gaming Young
FOOT,Iowa,Iowa,,Iowa
TABL,Ivo Palmi,,,Ivo Palmi
FOOT,Jacksonville Jaguars,JAX Jaguars,Jacksonville Jaguars,Jacksonville Jaguars
FOOT,Jacksonville State,Jacksonville ST,,Jacksonville State
TABL,Jan Benes Jnr,,,Jan Benes Jnr
TABL,Jan Briska,,,Jan Briska
TABL,Jan Cernoch,,,Jan Cernoch
TABL,Jan Dzida,,,Jan Dzida
TABL,Jan Herold,,,Jan Herold
TABL,Jan Jablonovsky,,,Jan Jablonovsky
TABL,Jan Kanera,,,Jan Kanera
TABL,Jan Lovl,,,Jan Lovl
TABL,Jan Manhal Jnr,,,Jan Manhal Jnr
TABL,Jan Mecl Jnr,,,Jan Mecl Jnr
TABL,Jan Pleskot,,,Jan Pleskot
TABL,Jan Potensky,,,Jan Potensky
TABL,Jan Ruzicka,,,Jan Ruzicka
TABL,Jan Steffan,,,Jan Steffan
TABL,Jan Sucharda,,,Jan Sucharda
TABL,Jan Varcl Jnr,,,Jan Varcl Jnr
TABL,Jan Varcl Snr,,,Jan Varcl Snr
TABL,Jan Vidourek,,,Jan Vidourek
TABL,Jan Volhejn,,,Jan Volhejn
TABL,Jan Zajicek,,,Jan Zajicek
TABL,Jaromir Cernik,,,Jaromir Cernik
TABL,Jaromir Kanok,,,Jaromir Kanok
TABL,Jaromir Kriz,,,Jaromir Kriz
TABL,Jaromir Vyboch,,,Jaromir Vyboch
TABL,Jaroslav Dorazka,,,Jaroslav Dorazka
TABL,Jaroslav Hajek,,,Jaroslav Hajek
TABL,Jaroslav Novotny,,,Jaroslav Novotny
TABL,Jaroslav Prokupek,,,Jaroslav Prokupek
TABL,Jaroslav Schwan,,,Jaroslav Schwan
TABL,Jaroslav Strnad,,,Jaroslav Strnad
ESPT,JD Gaming,,,JD Gaming
TABL,Jiri Graf,,,Jiri Graf
TABL,Jiri Hiblbauer,,,Jiri Hiblbauer
TABL,Jiri Louda,,,Jiri Louda
TABL,Jiri Machart,,,Jiri Machart
TABL,Jiri Moravek,,,Jiri Moravek
TABL,Jiri Motak,,,Jiri Motak
TABL,Jiri Nesnera,,,Jiri Nesnera
TABL,Jiri Plachy,,,Jiri Plachy
TABL,Jiri Pozarsky,,,Jiri Pozarsky
TABL,Jiri Reczai,,,Jiri Reczai
TABL,Jiri Ruzicka,,,Jiri Ruzicka
TABL,Jiri Telecky,,,Jiri Telecky
TABL,Jiri Zuzanek,,,Jiri Zuzanek
TABL,Josef Belovsky,,,Josef Belovsky
TABL,Josef Grill,,,Josef Grill
TABL,Josef Koutnik,,,Josef Koutnik
TABL,Josef Medek,,,Josef Medek
TABL,Jozef Denez,,,Jozef Denez
SOCC,Juventus,Juventus,Juventus,Juventus
TABL,Kamil Kleprlik,,,Kamil Kleprlik
TABL,Kamil Novak,,,Kamil Novak
FOOT,Kansas,,,Kansas
FOOT,Kansas City Chiefs,KC Chiefs,Kansas City Chiefs,Kansas City Chiefs
BASE,Kansas City Royals,KC Royals,Kansas City Royals,Kansas City Royals
FOOT,Kansas State,,,Kansas State
TABL,Karel Baros,,,Karel Baros
TABL,Karel Brozik,,,Karel Brozik
TABL,Karel Hons,,,Karel Hons
FOOT,Kent State,Kent ST,,Kent State
FOOT,Kentucky,Kentucky,,Kentucky
ESPT,KT Rolster,,,KT Rolster
ESPT,Kwangdong Freecs,,,Kwangdong Freecs
TABL,Kyryl Darin,,,Kyryl Darin
SOCC,LA Galaxy,LA Galaxy,LA Galaxy,LA Galaxy
TABL,Ladislav Janousek,,,Ladislav Janousek
TABL,Ladislav Novotny,,,Ladislav Novotny
TABL,Ladislav Svanda,,,Ladislav Svanda
TABL,Ladislav Vosyka,,,Ladislav Vosyka
TABL,Ladislav Zatecka,,,Ladislav Zatecka
SOCC,Los Angeles FC,LAFC,LAFC,LAFC
FOOT,Las Vegas Raiders,LV Raiders,Las Vegas Raiders,Las Vegas Raiders
SOCC,Lazio,Lazio,Lazio,Lazio
SOCC,Lecce,Lecce,Lecce,Lecce
SOCC,Leeds United,Leeds,Leeds United,Leeds United
SOCC,Leicester City,Leicester,Leicester City,Leicester City
FOOT,Liberty,Liberty,,Liberty
ESPT,Liiv  Sandbox ,,,Liiv  Sandbox 
SOCC,Liverpool,Liverpool,Liverpool,Liverpool
ESPT,LNG Esports,,,LNG Esports
BASE,Los Angeles Angels,LA Angels,Los Angeles Angels,Los Angeles Angels
FOOT,Los Angeles Chargers,LA Chargers,Los Angeles Chargers,Los Angeles Chargers
BASE,Los Angeles Dodgers,LA Dodgers,Los Angeles Dodgers,Los Angeles Dodgers
BASK,Los Angeles Lakers,LA Lakers,Los Angeles Lakers,Los Angeles Lakers
FOOT,Los Angeles Rams,LA Rams,Los Angeles Rams,Los Angeles Rams
BASK,Los Angeles Sparks,LA Sparks,Los Angeles Sparks,Los Angeles Sparks
FOOT,Louisiana Tech,Louisiana Tech,,Louisiana Tech
FOOT,Louisville,Louisville,,Louisville
FOOT,LSU,LSU,,LSU
TABL,Lubor Sulava,,,Lubor Sulava
TABL,Ludek Madle,,,Ludek Madle
TABL,Ludek Pelikan,,,Ludek Pelikan
TABL,Lukas Boruvka,,,Lukas Boruvka
TABL,Lukas Kantor,,,Lukas Kantor
TABL,Lukas Malek,,,Lukas Malek
TABL,Lukas Martinak,,,Lukas Martinak
TABL,Lukas Rygl,,,Lukas Rygl
TABL,Lukas Tonar,,,Lukas Tonar
SOCC,Mallorca,Mallorca,Mallorca,Mallorca
SOCC,Manchester City,Man City,Manchester City,Manchester City
SOCC,Manchester United,Man Utd,Manchester United,Manchester United
TABL,Marek Kostal,,,Marek Kostal
TABL,Marek Placek,,,Marek Placek
TABL,Marek Sedlak Snr,,,Marek Sedlak Snr
TABL,Marek Zaskodny,,,Marek Zaskodny
TABL,Martin Biolek,,,Martin Biolek
TABL,Martin Bittner,,,Martin Bittner
TABL,Martin Cvecek,,,Martin Cvecek
TABL,Martin Huk,,,Martin Huk
TABL,Martin Jaksa,,,Martin Jaksa
TABL,Martin Kucera,,,Martin Kucera
TABL,Martin Nypl,,,Martin Nypl
TABL,Martin Pavliska,,,Martin Pavliska
TABL,Martin Sobisek,,,Martin Sobisek
TABL,Martin Sochor,,,Martin Sochor
TABL,Martin Stefek,,,Martin Stefek
TABL,Martin Tacinec,,,Martin Tacinec
FOOT,Massachusetts,Massachusetts,,Massachusetts
TABL,Matej Mazurek,,,Matej Mazurek
TABL,Matej Pycha,,,Matej Pycha
TABL,Matyas Rojka,,,Matyas Rojka
FOOT,Memphis Showboats,Memphis Showboats,,Memphis Showboats
FOOT,Miami Dolphins,MIA Dolphins,Miami Dolphins,Miami Dolphins
FOOT,Miami Florida ,Miami FL,,Miami Florida 
BASK,Miami Heat,MIA Heat,Miami Heat,Miami Heat
BASE,Miami Marlins,MIA Marlins,Miami Marlins,Miami Marlins
FOOT,Miami Ohio,Miami OH,,Miami Ohio
ESPT,Miao Jing,,,Miao Jing
TABL,Michael Sedlacek,,,Michael Sedlacek
TABL,Michal Janik,,,Michal Janik
TABL,Michal Jezek,,,Michal Jezek
TABL,Michal Moravec,,,Michal Moravec
TABL,Michal Regner,,,Michal Regner
TABL,Michal Sklenar,,,Michal Sklenar
TABL,Michal Vavrecka,,,Michal Vavrecka
TABL,Michal Zahradka,,,Michal Zahradka
TABL,Michal Zobac,,,Michal Zobac
FOOT,Michigan,Michigan,,Michigan
FOOT,Michigan Panthers,MI Panthers,,Michigan Panthers
FOOT,Michigan State,Michigan ST,,Michigan State
FOOT,Middle Tennessee State,Middle Tennessee,,Middle Tennessee State
TABL,Mihail Trinta,,,Mihail Trinta
TABL,Mikulas Leopold,,,Mikulas Leopold
TABL,Milan Bezdicek,,,Milan Bezdicek
TABL,Milan Cakovsky Snr,,,Milan Cakovsky Snr
TABL,Milan Capek,,,Milan Capek
TABL,Milan Fisera,,,Milan Fisera
TABL,Milan Flesar,,,Milan Flesar
TABL,Milan Klement,,,Milan Klement
TABL,Milan Kolar,,,Milan Kolar
TABL,Milan Kruml,,,Milan Kruml
TABL,Milan Longin,,,Milan Longin
TABL,Milan Regner,,,Milan Regner
TABL,Milan Smesny,,,Milan Smesny
TABL,Milan Smrcek,,,Milan Smrcek
TABL,Milan Travnik,,,Milan Travnik
TABL,Milan Urban,,,Milan Urban
TABL,Milan Vrabec,,,Milan Vrabec
TABL,Miloslav Dvorak,,,Miloslav Dvorak
TABL,Miloslav Kotil,,,Miloslav Kotil
BASE,Milwaukee Brewers,MIL Brewers,Milwaukee Brewers,Milwaukee Brewers
FOOT,Minnesota ,Minnesota,,Minnesota 
BASK,Minnesota Lynx,MIN Lynx,Minnesota Lynx,Minnesota Lynx
BASE,Minnesota Twins,MIN Twins,Minnesota Twins,Minnesota Twins
SOCC,Minnesota United,Minnesota Utd,Minnesota United FC,Minnesota Utd
FOOT,Minnesota Vikings,MIN Vikings,Minnesota Vikings,Minnesota Vikings
TABL,Miroslav Adamec,,,Miroslav Adamec
TABL,Miroslav Antos,,,Miroslav Antos
TABL,Miroslav Cinibulk,,,Miroslav Cinibulk
TABL,Miroslav Cyrus,,,Miroslav Cyrus
TABL,Miroslav Necas,,,Miroslav Necas
TABL,Miroslav Nejedly,,,Miroslav Nejedly
FOOT,Mississippi,,,Mississippi
FOOT,Mississippi State,Mississippi ST,,Mississippi State
SOCC,Monza,Monza Brianza,Monza,Monza Brianza
SOCC,Napoli,Napoli,Napoli,Napoli
SOCC,Nashville SC,Nashville SC,Nashville SC,Nashville SC
FOOT,Navy,Navy,,Navy
FOOT,NC Central,,,NC Central
FOOT,NC State,,,NC State
SOCC,New England Revolution,New England Revolution,New England Revolution,NE Revolution
FOOT,Nebraska,Nebraska,,Nebraska
FOOT,Nevada,,,Nevada
FOOT,New England Patriots,NE Patriots,New England Patriots,New England Patriots
FOOT,New Jersey Generals,NJ Generals,,New Jersey Generals
FOOT,New Mexico,New Mexico,,New Mexico
FOOT,New Mexico State,New Mexico ST,,New Mexico State
FOOT,New Orleans Breakers,NO Breakers,,New Orleans Breakers
FOOT,New Orleans Saints,NO Saints,New Orleans Saints,New Orleans Saints
SOCC,New York City FC,New York City FC,New York City FC,New York City FC
FOOT,New York Giants,NY Giants,New York Giants,New York Giants
FOOT,New York Jets,NY Jets,New York Jets,New York Jets
BASK,New York Liberty,NY Liberty,New York Liberty,New York Liberty
BASE,New York Mets,NY Mets,New York Mets,New York Mets
SOCC,New York Red Bulls,New York Red Bulls,New York Red Bulls,New York Red Bulls
BASE,New York Yankees,NY Yankees,New York Yankees,New York Yankees
SOCC,Newcastle United,Newcastle,Newcastle United,Newcastle United
FOOT,NFC Conference,-,-,NFC Conference
FOOT,North Carolina,North Carolina,,North Carolina
FOOT,North Texas,North Texas,,North Texas
FOOT,Northern Illinois,Northern Illinois,,Northern Illinois
FOOT,Northwestern,,,Northwestern
FOOT,Notre Dame,Notre Dame,,Notre Dame
SOCC,Nottingham Forest,Nottingham Forest,Nottingham Forest,Nottingham Forest
ESPT,NS RedForce,,,NS RedForce
BASE,Oakland Athletics,OAK Athletics,Oakland Athletics,OAK Athletics
FOOT,Ohio,Ohio,,Ohio
FOOT,Ohio State,Ohio ST,,Ohio State
FOOT,Oklahoma ,Oklahoma,,Oklahoma 
ESPT,Oksavingsbank Brion,,,Oksavingsbank Brion
FOOT,Old Dominion,Old Dominion,,Old Dominion
TABL,Oldrich Lzicar,,,Oldrich Lzicar
TABL,Oldrich Vrtal,,,Oldrich Vrtal
ESPT,OMG,,,OMG
TABL,Ondrej Kucirek,,,Ondrej Kucirek
TABL,Ondrej Mista,,,Ondrej Mista
TABL,Ondrej Paril,,,Ondrej Paril
TABL,Ondrej Pros,,,Ondrej Pros
TABL,Ondrej Svacha,,,Ondrej Svacha
FOOT,Oregon,,,Oregon
FOOT,Oregon State,Oregon ST,,Oregon State
SOCC,Orlando City,Orlando City,Orlando City SC,Orlando City
SOCC,Osasuna,Osasuna,Osasuna,Osasuna
TABL,Oskar Spacek,,,Oskar Spacek
FOOT,Ottawa Redblacks,OTT REDBLACKS,,Ottawa Redblacks
TABL,Otto Jarkovsky,,,Otto Jarkovsky
TABL,Patrik Pycha,,,Patrik Pycha
TABL,Pavel Chvatal,,,Pavel Chvatal
TABL,Pavel Gireth,,,Pavel Gireth
TABL,Pavel Mozol,,,Pavel Mozol
TABL,Pavel Wawrosz,,,Pavel Wawrosz
FOOT,Penn State,Penn ST,,Penn State
TABL,Petr Anton,,,Petr Anton
TABL,Petr Bradac,,,Petr Bradac
TABL,Petr Jochym,,,Petr Jochym
TABL,Petr Kmoch Jnr,,,Petr Kmoch Jnr
TABL,Petr Kmoch Snr,,,Petr Kmoch Snr
TABL,Petr Monik,,,Petr Monik
TABL,Petr Oliver Korp,,,Petr Oliver Korp
TABL,Petr Picek,,,Petr Picek
TABL,Petr Serak,,,Petr Serak
TABL,Petr Sudek,,,Petr Sudek
TABL,Petr Svec,,,Petr Svec
TABL,Petr Svoboda,,,Petr Svoboda
TABL,Petr Vicherek,,,Petr Vicherek
FOOT,Philadelphia Eagles,PHI Eagles,Philadelphia Eagles,Philadelphia Eagles
BASE,Philadelphia Phillies,PHI Phillies,Philadelphia Phillies,Philadelphia Phillies
FOOT,Philadelphia Stars,PHI Stars,,Philadelphia Stars
SOCC,Philadelphia Union,Philadelphia Union,Philadelphia Union,Philadelphia Union
BASK,Phoenix Mercury,PHO Mercury,Phoenix Mercury,Phoenix Mercury
FOOT,Pittsburgh Maulers,PIT Maulers,,Pittsburgh Maulers
BASE,Pittsburgh Pirates,PIT Pirates,Pittsburgh Pirates,Pittsburgh Pirates
FOOT,Pittsburgh Steelers,PIT Steelers,Pittsburgh Steelers,Pittsburgh Steelers
SOCC,Portland Timbers,Portland Timbers,Portland Timbers,Portland Timbers
FOOT,Purdue,Purdue,,Purdue
TABL,Radek Benes,,,Radek Benes
TABL,Radek Fnukal,,,Radek Fnukal
TABL,Radek Krcal,,,Radek Krcal
TABL,Radek Rose,,,Radek Rose
TABL,Radek Vosyka,,,Radek Vosyka
TABL,Radek Vranca,,,Radek Vranca
TABL,Radim Pavelka,,,Radim Pavelka
TABL,Radim Uhlar,,,Radim Uhlar
TABL,Radim Urbaniec,,,Radim Urbaniec
TABL,Radovan Polasek,,,Radovan Polasek
ESPT,Rare Atom,,,Rare Atom
SOCC,Real Betis,Real Betis,Real Betis,Real Betis
SOCC,Real Madrid,Real Madrid,Real Madrid,Real Madrid
SOCC,Real Salt Lake,Real Salt Lake,Real Salt Lake,Real Salt Lake
SOCC,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad
TABL,Rene Kowal,,,Rene Kowal
FOOT,Rice,Rice,,Rice
TABL,Richard Macura,,,Richard Macura
TABL,Robin Pacha,,,Robin Pacha
TABL,Roman Barta,,,Roman Barta
TABL,Roman Hudeczek,,,Roman Hudeczek
TABL,Roman Laznicka,,,Roman Laznicka
TABL,Roman Polovka,,,Roman Polovka
TABL,Rostislav Hasmanda,,,Rostislav Hasmanda
TABL,Rostislav Niezgoda,,,Rostislav Niezgoda
TABL,Rostyslav Kliuchuk,,,Rostyslav Kliuchuk
ESPT,Royal Never Give Up,,,Royal Never Give Up
FOOT,Rutgers,,,Rutgers
SOCC,Saint Louis City SC,St Louis City SC,St Louis City SC,Saint Louis City SC
SOCC,Salernitana,Salernitana,Salernitana,Salernitana
FOOT,Sam Houston State,Sam Houston,,Sam Houston State
SOCC,Sampdoria,Sampdoria,Sampdoria,Sampdoria
BASE,San Diego Padres,SD Padres,San Diego Padres,San Diego Padres
FOOT,San Diego State,San Diego ST,,San Diego State
FOOT,San Francisco 49ers,SF 49ers,San Francisco 49ers,San Francisco 49ers
BASE,San Francisco Giants,SF Giants,San Francisco Giants,San Francisco Giants
SOCC,San Jose Earthquakes,San Jose Earthquakes,San Jose Earthquakes,San Jose Earthquakes
FOOT,San Jose State,San Jose ST,,San Jose State
FOOT,Saskatchewan Roughriders,SSK Roughriders,,Saskatchewan Roughriders
SOCC,Sassuolo,Sassuolo,Sassuolo,Sassuolo
BASE,Seattle Mariners,SEA Mariners,Seattle Mariners,Seattle Mariners
FOOT,Seattle Seahawks,SEA Seahawks,Seattle Seahawks,Seattle Seahawks
SOCC,Seattle Sounders,Seattle Sounders,Seattle Sounders FC,Seattle Sounders
BASK,Seattle Storm,SEA Storm,Seattle Storm,Seattle Storm
SOCC,Sevilla,Sevilla,Sevilla,Sevilla
TABL,Simon Kadavy,,,Simon Kadavy
FOOT,SMU,SMU,,SMU
FOOT,South Alabama,South Alabama,,South Alabama
FOOT,South Carolina,South Carolina,,South Carolina
FOOT,South Florida,South Florida,,South Florida
SOCC,Southampton,Southampton,Southampton,Southampton
SOCC,Spezia,Spezia,Spezia,Spezia
SOCC,Sporting Kansas City,Sporting Kansas City,Sporting Kansas City,Sporting Kansas City
BASE,St. Louis Cardinals,STL Cardinals,St. Louis Cardinals,St. Louis Cardinals
FOOT,Stanford,Stanford,,Stanford
TABL,Stanislav Hudec,,,Stanislav Hudec
TABL,Stanislav Mazanek,,,Stanislav Mazanek
TABL,Stanislav Pinc,,,Stanislav Pinc
TABL,Svatoslav Stempen,,,Svatoslav Stempen
ESPT,T1,,,T1
TABL,Tadeas Zika,,,Tadeas Zika
FOOT,Tampa Bay Buccaneers,TB Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers
BASE,Tampa Bay Rays,TB Rays,Tampa Bay Rays,Tampa Bay Rays
FOOT,TCU,TCU,,TCU
ESPT,Team WE Academy,,,Team WE Academy
FOOT,Temple,,,Temple
FOOT,Tennessee,Tennessee,,Tennessee
FOOT,Tennessee Titans,TEN Titans,Tennessee Titans,Tennessee Titans
FOOT,Texas,Texas,,Texas
FOOT,Texas A&M ,Texas A&M,,Texas A&M 
BASE,Texas Rangers,TEX Rangers,Texas Rangers,Texas Rangers
FOOT,Texas State,Texas ST,,Texas State
FOOT,Texas Tech,Texas Tech,,Texas Tech
ESPT,ThunderTalk Young,,,ThunderTalk Young
TABL,Tibor Kolenic,,,Tibor Kolenic
TABL,Tiep Vu Duy,,,Tiep Vu Duy
FOOT,Toledo,Toledo,,Toledo
TABL,Tomas Andrle,,,Tomas Andrle
TABL,Tomas Bartik,,,Tomas Bartik
TABL,Tomas Demek,,,Tomas Demek
TABL,Tomas Dousa,,,Tomas Dousa
